# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
In		L1 edge	4246.17	0.99	4237.26	0.21	4238.30	0.27				1d
I		L1M2	4256.9	2.1	4257.53	0.19						1d
Cs		L3M4	4272.9	1.1	4272.31	0.44						1d
Sb		L2N2	4276.3	4.2								
Sb		L2N3	4277.2	1.8								
La		L3M2	4278.9	1.4								
Cs		L3M5	4286.6	1.0	4286.49	0.44						1d
Ce		L3M1	4286.8	1.4	4287.52	0.88						1d
Cs		L2M2	4293.7	1.5								
Te		L3N4	4300.31	0.91	4301.70	0.18					L3N4,5	1d
Te		L3N5	4301.89	0.91	4301.70	0.18					L3N4,5	1d
Xe		L1M1	4303.2	1.9								
I		L1M3	4312.8	1.9	4313.49	0.20						1d
Sn		L1N1	4327.6	4.2								
Ba		L2M1	4330.7	1.1	4330.96	0.67						1d
Sb		L2N4	4347.56	0.96	4347.831	0.068						1d
Sb		L2N5	4348.99	0.96								
Te		L3 edge	4352.20	0.34	4341.88	0.23	4342.35	0.53				1d
Te		L1M4	4355.9	1.7	4355.16	0.20						1d
La		L3M3	4359.3	1.3								
Sn		L1N2	4359.5	1.3	4376.83	0.46					L1N2,3	1d
Cs		L2M3	4360.9	1.3								
Te		L1M5	4366.1	1.7	4367.16	0.20						1d
I		L3N1	4372.5	3.8	4370.62	0.21						1d
Sn		L1N3	4372.6	2.3	4376.83	0.46					L1N2,3	1d
Sb		L2 edge	4390.54	0.40	4381.9	1.1	4381.22	0.79				1d
Ti		KL1	4404.59	0.43								
Xe		L2M4	4417.6	1.1	4417.668	0.030						12d
I		L3N2	4425.3	4.5								
I		L3N3	4429.9	2.4								
Xe		L2M5	4430.2	1.1								
Sc		KM1	4438.8	1.5								
Sn		L1N4	4438.8	1.6								
Sn		L1N5	4440.1	1.6								
Te		L2N1	4444.8	3.8	4443.70	0.21						1d
Xe		L1M2	4450.2	2.3	4450.328	0.030						12d
Ba		L3M4	4451.5	1.1	4450.94	0.12						1d
Ce		L3M2	4452.6	1.4								
Pr		L3M1	4458.0	1.4	4453.23	0.95						1d
Sc		KM2	4461.16	0.80	4460.44	0.47					KM2,3	1d
Sc		KM3	4462.93	0.80	4460.44	0.47					KM2,3	1d
Ba		L3M5	4466.6	1.0	4466.30	0.12						1d
Sn		L1 edge	4473.20	0.99	4464.77	0.24	4465.02	0.11				1d
Sc		KM5			4486.59	0.72					KM4,5	1d
Ba		L2M2	4487.4	1.5								
Sc		KM4	4490.79	0.41	4486.59	0.72					KM4,5	1d
Te		L2N2	4494.7	4.4								
Sc		KN1	4495.16	0.18								
Cs		L1M1	4496.1	1.7								
Te		L2N3	4496.8	2.0								
Sc		K edge	4501.68	0.12	4488.9	2.4	4489.37	0.47				1d
Ti		KL2	4504.07	0.44	4504.9201	0.0094						1,6,23d
I		L3N4	4506.26	0.89	4507.58	0.19					L3N4,5	1d
I		L3N5	4508.01	0.89	4507.58	0.19					L3N4,5	1d
Ti		KL3	4510.38	0.42	4510.8991	0.0094						1,6,23d
Xe		L1M3	4511.8	2.2	4512.028	0.030						12d
La		L2M1	4524.8	1.1	4524.9	7.3						1d
Ce		L3M3	4540.8	1.3								
Sb		L1N1	4546.2	4.4								
I		L1M4	4556.5	1.7	4556.43	0.22						1d
Ba		L2M3	4560.9	1.3								
I		L3 edge	4567.52	0.32	4558.8	1.2	4557.12	0.54				1d
I		L1M5	4567.8	1.7	4569.06	0.22						1d
Te		L2N4	4570.67	0.97	4570.93	0.15						1d
Te		L2N5	4572.25	0.97								
Xe		L3N1	4575.1	3.8								
Sb		L1N2	4593.1	4.8	4599.95	0.51					L1N2,3	1d
Sb		L1N3	4594.0	2.4	4599.95	0.51					L1N2,3	1d
Cs		L2M4	4620.0	1.1	4619.83	0.51						1d
Te		L2 edge	4622.56	0.40	4612.61	0.25	4613.05	0.15				1d
Pr		L3M2	4628.2	1.4								
Xe		L3N3	4629.3	8.9								
Xe		L3N2	4630.6	4.6								
Nd		L3M1	4632.4	1.5	4631.849	0.052						3d
Cs		L2M5	4633.8	1.1								
La		L3M4	4633.8	1.1	4634.26	0.10						1,27d
Cs		L1M2	4648.0	2.1	4649.45	0.52						1d
La		L3M5	4650.4	1.0	4651.02	0.13						1d
Sb		L1N4	4664.3	1.6								
Sb		L1N5	4665.8	1.6								
I		L2N1	4666.8	3.9	4666.08	0.23						1d
La		L2M2	4686.2	1.5								
Ba		L1M1	4694.8	1.7								
Sb		L1 edge	4707.3	1.0	4698.44	0.26	4699.15	0.12				1d
Cs		L1M3	4715.2	2.0	4716.85	0.53						1d
Xe		L3N4	4717.08	0.89								
Xe		L3N5	4718.90	0.84								
I		L2N2	4719.6	4.6								
I		L2N3	4724.2	2.4								
Pr		L3M3	4724.6	1.3								
Ce		L2M1	4727.4	1.1	4731.6	1.1						1d
Xe		L1M4	4763.2	2.0								
La		L2M3	4766.7	1.3								
Te		L1N1	4770.8	4.5								
Xe		L1M5	4775.8	2.0								
Cs		L3N1	4783.7	3.9	4781.06	0.55						1d
Xe		L3 edge	4788.22	0.32	4782.16	0.27	4786.47	0.17				1d
I		L2N4	4800.58	0.96	4800.98	0.22						1d
I		L2N5	4802.33	0.95								
Nd		L3M2	4807.1	1.5								
Pm		L3M1	4810.0	1.5								
Te		L1N2	4820.7	5.0	4829.10	0.56					L1N2,3	1d
Ce		L3M4	4822.0	1.1	4823.17	0.34						1,28d
Te		L1N3	4822.8	2.7	4829.10	0.56					L1N2,3	1d
Ba		L2M4	4827.8	1.2	4827.58	0.14						1d
V		KL1	4838.50	0.47								
Ce		L3M5	4841.1	1.1	4840.06	0.31						1,28d
Cs		L3N2	4841.1	4.8								
Ba		L2M5	4842.9	1.1								
Cs		L3N3	4851.0	3.5								
Ba		L1M2	4851.4	2.1	4851.97	0.56						1d
I		L2 edge	4861.84	0.38	4854.1	1.4	4852.01	0.59				1d
Ce		L2M2	4893.1	1.5								
Xe		L2N1	4895.0	3.9								
Te		L1N4	4896.6	1.6								
Te		L1N5	4898.2	1.6								
La		L1M1	4898.6	1.7								
Ti		KM1	4907.1	1.5								
Nd		L3M3	4912.2	1.4								
Ba		L1M3	4925.0	2.0	4926.97	0.58						1d
Ti		KM2	4930.86	0.85	4931.827	0.059					KM2,3	1d
Cs		L3N4	4933.27	0.98	4936.00	0.58					L3N4,5	1d
Pr		L2M1	4933.7	1.2	4935.6	8.7						1d
Ti		KM3	4934.46	0.87	4931.827	0.059					KM2,3	1d
Cs		L3N5	4935.36	0.92	4936.00	0.58					L3N4,5	1d
V		KL2	4943.59	0.45	4944.671	0.059						1,6d
Te		L1 edge	4948.5	1.0	4939.73	0.29	4939.65	0.99				1d
Xe		L2N3	4949.2	8.9								
Xe		L2N2	4950.5	4.6								
V		KL3	4951.79	0.42	4952.216	0.059						1,6d
Ti		KM5			4962.27	0.59					KM4,5	1d
Ti		KM4	4965.95	0.43	4962.27	0.59					KM4,5	1d
Ti		KN1	4971.09	0.18								
Cs		L1M4	4974.4	1.8	4975.21	0.59						1d
Ti		K edge	4977.92	0.12	4964.58	0.15	4964.881	0.059				1d
Ce		L2M3	4981.4	1.4								
Cs		L1M5	4988.1	1.7	5002.72	0.60						1d
Pm		L3M2	4989.2	1.5								
Sm		L3M1	4990.9	1.5	4990.43	0.17						3d
Ba		L3N1	4995.2	3.9	4994.05	0.60						1d
I		L1N1	5002.1	4.5								
Pr		L3M4	5012.9	1.1	5013.64	0.90						1d
Cs		L3 edge	5019.87	0.32	5011.41	0.30	5012.98	0.33				1d
Pr		L3M5	5034.3	1.1	5033.79	0.60						1d
Xe		L2N4	5036.95	0.93								
Xe		L2N5	5038.78	0.89								
La		L2M4	5041.2	1.2	5042.17	0.15						1d
I		L1N2	5055.0	5.2	5065.67	0.61					L1N2,3	1d
Ba		L3N2	5056	15								
La		L2M5	5057.8	1.1								
I		L1N3	5059.5	3.0	5065.67	0.61					L1N2,3	1d
La		L1M2	5060.1	2.2	5061.79	0.38						1,27d
Ba		L3N3	5070.1	1.0								
Pm		L3M3	5103.6	1.4								
Pr		L2M2	5104.0	1.5								
Xe		L2 edge	5108.10	0.37	5103.83	0.31	5106.72	0.20				1d
Ce		L1M1	5110.7	1.7								
Cs		L2N1	5130.8	4.0	5128.75	0.63						1d
I		L1N4	5135.9	1.6								
I		L1N5	5137.7	1.6								
La		L1M3	5140.5	2.0	5143.40	0.39						1,27d
Nd		L2M1	5145.6	1.2	5145.25	0.17						3d
Ba		L3N4	5154.8	4.9	5156.58	0.19					L3N4,5	1d
Ba		L3N5	5156.97	0.55	5156.58	0.19					L3N4,5	1d
Sm		L3M2	5174.6	1.5								
Eu		L3M1	5175.1	1.5	5177.15	0.64						1d
Cs		L2N2	5188.3	4.8								
Ba		L1M4	5191.9	1.8	5194.28	0.64						1d
I		L1 edge	5197.2	1.0	5191.9	1.6	5188.38	0.81				1d
Cs		L2N3	5198.1	3.6								
Pr		L2M3	5200.4	1.4								
Ba		L1M5	5207.0	1.7	5217.23	0.65						1d
Nd		L3M4	5207.6	1.1	5207.7	1.1						3d
La		L3N1	5212.4	3.9	5211.63	0.42						1,27d
Nd		L3M5	5231.4	1.1	5230.239	0.035						3d
Xe		L1N1	5240.5	4.7								
Ba		L3 edge	5257.36	0.32	5247.04	0.33	5246.71	0.22				1d
Ce		L2M4	5262.5	1.2	5262.93	0.41						1,28d
La		L3N2	5276	15								
Ce		L1M2	5276.5	2.2	5277.35	0.43						1,28d
Cs		L2N4	5280.4	1.1	5280.34	0.67						1d
Ce		L2M5	5281.6	1.1								
Cs		L2N5	5282.54	0.98								
La		L3N3	5291.2	1.0								
Cr		KL1	5293.35	0.50								
Xe		L1N3	5294.8	9.8	5306.71	0.20					L1N2,3	24d
Xe		L1N2	5296.0	5.5	5306.71	0.20					L1N2,3	24d
Sm		L3M3	5298.8	1.4								
Nd		L2M2	5320.3	1.5								
Pr		L1M1	5326.9	1.7								
Gd		L3M1	5361.1	1.5	5362.09	0.69						1d
Pm		L2M1	5363.0	1.3								
Eu		L3M2	5363.2	1.5								
Ce		L1M3	5364.7	2.0	5365.29	0.42						1,28d
Cs		L2 edge	5367.05	0.39	5358.15	0.34	5359.2	4.0				1d
Ba		L2N1	5371.5	4.0	5370.7	1.0						1d
La		L3N4	5381.4	4.6	5382.87	0.23					L3N4,5	1,27d
Xe		L1N4	5382.5	1.8								
La		L3N5	5383.43	0.55	5382.87	0.23					L3N4,5	1,27d
Xe		L1N5	5384.3	1.8								
V		KM1	5399.3	1.5								
Cr		KL2	5404.06	0.45	5405.5384	0.0071						7d
Pm		L3M4	5406.1	1.1	5407.9	1.4						1d
Cr		KL3	5413.88	0.42	5414.8045	0.0071						7d
La		L1M4	5415.0	1.8	5416.99	0.71						1,27d
V		KM2	5424.42	0.89	5427.320	0.071					KM2,3	1d
Nd		L2M3	5425.4	1.4	5424.4	1.2						30d
V		KM3	5430.00	0.94	5427.320	0.071					KM2,3	1d
La		L1M5	5431.7	1.8	5435.79	0.71						1,27d
Pm		L3M5	5432.5	1.1	5432.6	1.1						1d
Ba		L2N2	5433	15								
Ce		L3N1	5435.0	3.9	5433.24	0.43						1,28d
Ba		L2N3	5446.4	1.1								
Xe		L1 edge	5453.7	1.3	5452.89	0.35	5452.57	0.17				1d
V		KM5			5462.96	0.21					KM4,5	1d
V		KM4	5465.33	0.44	5462.96	0.21					KM4,5	1d
V		KN1	5471.17	0.19								
V		K edge	5478.28	0.12	5463.757	0.050	5464.43	0.26				13d
La		L3N6			5479.1	1.2					L3N6,7	26d
La		L3N7			5479.1	1.2					L3N6,7	26d
Cs		L1N1	5485.2	4.6								
Pr		L2M4	5488.7	1.2	5488.9	1.1						1d
Pr		L1M2	5497.2	2.2	5498.1	1.4						1d
Eu		L3M3	5497.5	1.4	5498.6	1.2						35d
La		L3 edge	5497.83	0.32	5483.5	3.6	5487.05	0.49				1d
Ce		L3N2	5499	15								
Pr		L2M5	5510.0	1.1								
Ce		L3N3	5517.34	0.99								
Ba		L2N4	5531.1	5.0	5531.22	0.73						1d
Ba		L2N5	5533.28	0.61								
Pm		L2M2	5542.1	1.5								
Cs		L1N2	5542.6	5.5	5542.10	0.73						1d
Nd		L1M1	5548.7	1.8								
Cs		L1N3	5552.5	4.3	5552.77	0.74						1d
Tb		L3M1	5552.7	1.5	5546.81	0.73						1d
Gd		L3M2	5553.7	1.5								
Sm		L2M1	5586.0	1.4	5585.55	0.91						3d
Pr		L1M3	5593.5	2.1	5591.8	1.1						1d
Sm		L3M4	5608.8	1.2	5609.053	0.061						3d
Ce		L3N4	5610.3	4.3	5612.67	0.42					L3N4,5	1,28d
Ce		L3N5	5614.13	0.54	5612.67	0.42					L3N4,5	1,28d
La		L2N1	5619.8	4.0	5620.13	0.48						1,27d
Ba		L2 edge	5633.67	0.39	5623.29	0.38	5623.32	0.32				1d
Cs		L1N4	5634.8	1.7								
Cs		L1N5	5636.9	1.7								
Sm		L3M5	5637.6	1.1	5635.970	0.033						3d
Ce		L1M4	5645.9	1.8	5644.98	0.50						1,28d
Pm		L2M3	5656.5	1.5								
Pr		L3N1	5661.8	3.9	5659.7	1.5						1d
Ce		L1M5	5665.0	1.8	5664.63	0.47						1,28d
La		L2N2	5683	15								
La		L2N3	5698.6	1.1								
Gd		L3M3	5698.9	1.5	5698.3	1.3						40d
Ce		L3N6	5714.67	0.78	5721.10	0.53					L3N6,7	28d
Nd		L2M4	5720.8	1.2	5721.446	0.050						3d
Ce		L3N7			5721.10	0.53					L3N6,7	28d
Cs		L1 edge	5721.4	1.0	5720.6	2.0	5719.8	7.6				1d
Nd		L1M2	5723.4	2.2	5721.6	1.2						1d
Ce		L3 edge	5726.47	0.32	5724.0	3.9	5724.5	1.0				1d
Pr		L3N2	5728	15								
Ba		L1N1	5735.5	4.6								
Nd		L2M5	5744.6	1.1								
Dy		L3M1	5746.0	1.5	5743.05	0.26						1,44d
Pr		L3N3	5748.06	0.97								
Tb		L3M2	5750.1	1.5								
Mn		KL1	5769.18	0.54								
Sm		L2M2	5769.7	1.6								
Pm		L1M1	5776.1	1.8								
La		L2N4	5788.8	4.7	5788.30	0.26						1,27d
La		L2N5	5790.83	0.61								
Ba		L1N2	5797	16	5810.11	0.20					L1N2,3	25d
Ba		L1N3	5810.4	1.7	5810.11	0.20					L1N2,3	25d
Eu		L2M1	5814.9	1.5	5816.67	0.81						1d
Eu		L3M4	5815.0	1.2	5816.61	0.45						1,34d
Nd		L1M3	5828.5	2.1	5827.801	0.052						3d
Eu		L3M5	5846.1	1.1	5846.46	0.26						1,34d
Pr		L3N4	5846.1	4.1	5849.9	1.6					L3N4,5	1d
Pr		L3N5	5850.08	0.54	5849.9	1.6					L3N4,5	1d
Ce		L2N1	5875.5	4.0	5874.90	0.51						1,28d
Pr		L1M4	5881.9	1.9	5884.0	1.7						1d
Mn		KL2	5886.20	0.45	5887.6859	0.0084						7d
La		L2N6			5887.7	1.4					L2N6,7	26d
La		L2N7			5887.7	1.4					L2N6,7	26d
Nd		L3N1	5893.1	3.8	5892.99	0.25						1,29,30d
Sm		L2M3	5893.8	1.5	5891.6	1.4						33d
Ba		L1N4	5895.2	5.6								
Ba		L1N5	5897.3	1.3								
Mn		KL3	5898.10	0.42	5898.8010	0.0084						7d
Pr		L1M5	5903.2	1.8	5902.8	1.7						1d
La		L2 edge	5905.22	0.39	5889.1	2.1	5895.10	0.29				1d
Tb		L3M3	5906.2	1.5								
Cr		KM1	5914.2	1.5								
Ce		L2N2	5940	15								
Cr		KM2	5940.74	0.92	5946.823	0.011					KM2,3	7d
Ho		L3M1	5942.2	1.6	5939.963	0.071						3d
Cr		KM3	5947.10	1.00	5946.823	0.011					KM2,3	7d
Dy		L3M2	5948.3	1.5								
Pm		L1M2	5955.2	2.2								
Pr		L3N6	5955.40	0.75								
Ce		L2N3	5957.9	1.1								
Pm		L2M4	5959.1	1.2	5961.5	1.7						1d
Nd		L3N2	5961	15								
Pr		L3 edge	5967.84	0.33	5963.3	2.1	5962.35	0.62				1d
Nd		L3N3	5983.57	0.95								
Pm		L2M5	5985.4	1.1								
Cr		KM4	5986.82	0.46	5986.97	0.26					KM4,5	1d
Cr		KN1	5989.03	0.19								
Cr		KM5	5990.83	0.12	5986.97	0.26					KM4,5	1d
La		L1N1	5993.6	4.6								
Cr		K edge	5995.66	0.12	5989.017	0.040	5989.16	0.48	5994.90	0.50		13d 17v
Ba		L1 edge	5997.7	1.0	5995.9	2.1	5990.4	4.5				1d
Eu		L2M2	6003.0	1.6								
Sm		L1M1	6009.1	1.9								
Gd		L3M4	6024.0	1.2	6024.99	0.87						1d
Gd		L2M1	6048.3	1.6	6049.69	0.44						1d
Ce		L2N4	6050.8	4.4	6052.15	0.29						1,28d
Ce		L2N5	6054.66	0.61								
La		L1N2	6057	16	6060.73	0.29						1,27d
Gd		L3M5	6057.8	1.1	6057.37	0.88						1d
Pm		L1M3	6069.6	2.1	6071.3	1.8						1d
La		L1N3	6072.4	1.7	6075.32	0.29						1,27d
Nd		L3N4	6087.8	3.8	6091.25	0.26					L3N4,5	1,29,30d
Nd		L3N5	6090.96	0.55	6091.25	0.26					L3N4,5	1,29,30d
Dy		L3M3	6116.3	1.5	6114.8	1.5						46d
Nd		L1M4	6123.9	1.9	6124.97	0.41						1,29,30d
Pm		L3N1	6128.5	3.8								
Eu		L2M3	6137.3	1.5	6137.7	1.5						35d
Pr		L2N1	6137.5	4.0	6136.2	1.8						1d
Er		L3M1	6141.4	1.6	6138.86	0.14						3d
Nd		L1M5	6147.7	1.8	6148.82	0.41						1,29,30d
Ho		L3M2	6149.4	1.6								
Ce		L2N6	6155.21	0.84	6161.57	0.61					L2N6,7	28d
Ce		L2N7			6161.57	0.61					L2N6,7	28d
La		L1N4	6162.7	5.3	6167.10	0.61					L1N4,5	27d
La		L1N5	6164.6	1.3	6167.10	0.61					L1N4,5	27d
Ce		L2 edge	6167.01	0.39	6160.9	2.3	6165.80	0.44				1d
Sm		L1M2	6192.8	2.3	6196.19	0.26						1,32d
Pm		L3N2	6197	15								
Nd		L3N6	6200.97	0.71	6202.34	0.52					L3N6,7	29,30d
Nd		L3N7			6202.34	0.52					L3N6,7	29,30d
Sm		L2M4	6203.9	1.3	6204.073	0.093						3d
Pr		L2N2	6204	15								
Nd		L3 edge	6213.90	0.33	6209.36	0.46	6211.15	0.60				1d
Pm		L3N3	6223.31	0.97								
Pr		L2N3	6223.8	1.0								
Sm		L2M5	6232.6	1.2								
Tb		L3M4	6239.8	1.2	6238.10	0.93						1d
Gd		L2M2	6240.9	1.6								
Eu		L1M1	6248.4	2.1								
Ce		L1N1	6258.9	4.6								
La		L1N6			6264.8	1.6					L1N6,7	26d
La		L1N7			6264.8	1.6					L1N6,7	26d
Fe		KL1	6266.07	0.58								
Tb		L3M5	6275.0	1.1	6272.82	0.94						1d
La		L1 edge	6279.0	1.0	6268.1	2.3	6271.17	0.90				1d
Tb		L2M1	6290.0	1.7	6283.95	0.94						1d
Sm		L1M3	6317.0	2.2	6316.36	0.13						3d
Pr		L2N4	6321.9	4.1	6322.1	1.4						1d
Ce		L1N2	6323	16	6326.39	0.59						1,28d
Pr		L2N5	6325.84	0.61								
Ho		L3M3	6330.0	1.6								
Pm		L3N4	6335.2	3.5	6338.9	2.9					L3N4,5	1d
Pm		L3N5	6336.23	0.59	6338.9	2.9					L3N4,5	1d
Ce		L1N3	6341.2	1.7	6342.00	0.59						1,28d
Tm		L3M1	6343.5	1.6	6341.96	0.83						1,54d
Er		L3M2	6353.6	1.6								
Sm		L3N1	6369.3	3.9	6369.72	0.14						1,32d
Pm		L1M4	6372.1	1.9								
Gd		L2M3	6386.0	1.5								
Fe		KL2	6389.51	0.46	6391.0264	0.0099						7d
Pm		L1M5	6398.5	1.8								
Fe		KL3	6403.13	0.43	6404.0062	0.0099						7d
Nd		L2N1	6406.3	3.9	6405.29	0.33						1,30d
Sm		L3N2	6411	15								
Pr		L2N6	6431.16	0.81								
Ce		L1N4	6434.2	5.1	6439.95	0.34					L1N4,5	28d
Eu		L1M2	6436.5	2.3	6437.81	0.55						1,34d
Ce		L1N5	6438.0	1.3	6439.95	0.34					L1N4,5	28d
Pr		L2 edge	6443.60	0.39	6439.0	2.5	6437.2	1.2				1d
Pm		L3N6	6450.84	0.72								
Eu		L2M4	6454.8	1.2	6455.72	0.56						1,34d
Mn		KM1	6455.7	1.5								
Dy		L3M4	6458.0	1.2	6457.72	0.15						1d
Pm		L3 edge	6464.15	0.36	6460.44	0.50						1d
Sm		L3N3	6468.88	0.99	6469.72	0.68						31d
Nd		L2N2	6474	15								
Mn		KM2	6485.39	0.96	6490.585	0.014					KM2,3	7d
Eu		L2M5	6485.9	1.2								
Tb		L2M2	6487.4	1.6								
Gd		L1M1	6492.2	2.2								
Mn		KM3	6492.7	1.0	6490.585	0.014					KM2,3	7d
Dy		L3M5	6495.3	1.1	6495.27	0.15						1d
Nd		L2N3	6496.8	1.0								
Pr		L1N1	6530.7	4.6								
Dy		L2M1	6536.3	1.8	6534.22	0.36						1d
Mn		KM4	6537.52	0.48	6535.36	0.51					KM4,5	1d
Mn		KM5	6538.54	0.51	6535.36	0.51					KM4,5	1d
Ce		L1N6	6538.6	1.5								
Mn		KN1	6544.46	0.20								
Er		L3M3	6547.6	1.6								
Yb		L3M1	6548.4	1.7	6545.54	0.26						1d
Ce		L1 edge	6550.4	1.1	6548.1	2.6	6548.9	2.5				1d
Mn		K edge	6552.12	0.12	6537.667	0.020	6537.68	0.14	6551.39	0.50		13d 17v
Tm		L3M2	6560.7	1.6	6557.5	1.7						54d
Eu		L1M3	6570.7	2.2	6571.57	0.58						1,34d
Sm		L3N5	6587.03	0.58	6587.17	0.14					L3N4,5	1,32d
Sm		L3N4	6589.8	3.2	6587.17	0.14					L3N4,5	1,32d
Pr		L1N2	6597	16	6598.0	2.1						1d
Nd		L2N4	6601.0	3.8	6601.16	0.24						1,29,30d
Nd		L2N5	6604.15	0.61								
Eu		L3N1	6614.0	3.7	6614.56	0.59						1,34d
Pr		L1N3	6617.0	1.7	6615.9	2.1						1d
Sm		L1M4	6627.0	2.0	6628.69	0.26						76d
Tb		L2M3	6643.5	1.6								
Sm		L1M5	6655.7	1.9	6655.60	0.14						76d
Ho		L3M4	6680.0	1.2	6678.484	0.054						3d
Pm		L2N1	6681.4	3.9								
Gd		L1M2	6684.8	2.3	6687.3	1.1						1d
Eu		L3N2	6687	15								
Sm		L3N6	6706.19	0.71	6711.75	0.73					L3N6,7	32d
Gd		L2M4	6711.1	1.2	6713.4	1.1						1d
Sm		L3N7			6711.75	0.73					L3N6,7	32d
Nd		L2N6	6714.16	0.78	6718.98	0.61					L2N6,7	29,30d
Pr		L1N4	6715.1	4.8								
Eu		L3N3	6717.81	0.94								
Nd		L2N7			6718.98	0.61					L2N6,7	29,30d
Pr		L1N5	6719.0	1.3								
Ho		L3M5	6719.6	1.1	6719.675	0.062						3d
Sm		L3 edge	6719.67	0.37	6717.36	0.54	6718.8	1.5	6717.9	2.0		1d 21v
Nd		L2 edge	6727.09	0.40	6723.55	0.54	6724.63	0.59				1d
Dy		L2M2	6738.6	1.6								
Tb		L1M1	6744.2	2.3								
Gd		L2M5	6744.9	1.2	6743.32	0.74						37d
Pm		L2N2	6750	15								
Lu		L3M1	6754.4	1.6	6752.85	0.54						1d
Tm		L3M3	6768.9	1.6								
Yb		L3M2	6771.0	1.7	6771.62	0.49						1d
Pm		L2N3	6776.2	1.0								
Co		KL1	6784.08	0.61								
Ho		L2M1	6788.7	2.0	6786.94	0.27						3d
Nd		L1N1	6809.4	4.6								
Pr		L1N6	6824.3	1.5								
Gd		L1M3	6829.9	2.3	6831.0	1.1						1d
Pr		L1 edge	6836.8	1.1	6834.4	2.8	6832.0	1.2				1d
Eu		L3N4	6838.6	2.9	6841.83	0.63					L3N4,5	1,34d
Eu		L3N5	6841.01	0.59	6841.83	0.63					L3N4,5	1,34d
Gd		L3N1	6863.8	3.6	6867.3	1.1						1d
Nd		L1N2	6877	16	6884.03	0.34						1,29,30d
Pm		L2N4	6888.1	3.6	6892.1	5.1						1d
Eu		L1M4	6888.3	2.0	6889.81	0.70						1,34d
Pm		L2N5	6889.17	0.65								
Nd		L1N3	6899.8	1.7	6900.44	0.34						1,29,30d
Er		L3M4	6905.8	1.2	6904.50	0.17						3d
Dy		L2M3	6906.6	1.6	6905.61	0.77						44d
Co		KL2	6914.08	0.47	6915.5380	0.0039						7d
Eu		L1M5	6919.3	1.9	6919.15	0.71						1,34d
Co		KL3	6929.63	0.43	6930.3780	0.0039						7d
Gd		L3N2	6938.5	4.0								
Tb		L1M2	6941.7	2.4	6940.3	1.1						1d
Er		L3M5	6947.9	1.1	6947.913	0.077						3d
Hf		L3M1	6963.1	1.7	6959.63	0.29						1d
Sm		L2N1	6964.4	3.9	6967.67	0.17						1,32d
Eu		L3N6	6966.92	0.69	6971.57	0.79					L3N6,7	34d
Eu		L3N7	6969.59	0.67	6971.57	0.79					L3N6,7	34d
Gd		L3N3	6972.94	0.89								
Tb		L2M4	6977.1	1.3	6977.8	1.7						1d
Eu		L3 edge	6980.47	0.37	6980.59	0.58	6974.53	0.63				1d
Lu		L3M2	6982.4	1.6	6980.99	0.58						1d
Yb		L3M3	6994.2	1.7	6995.85	0.40						55d
Ho		L2M2	6995.9	1.6								
Dy		L1M1	7001.1	2.5								
Pm		L2N6	7003.78	0.80								
Nd		L1N4	7004.1	4.5	7007.74	0.36					L1N4,5	29,30d
Sm		L2N2	7006	15								
Nd		L1N5	7007.2	1.3	7007.74	0.36					L1N4,5	29,30d
Tb		L2M5	7012.3	1.2	7009.37	0.79						41d
Pm		L2 edge	7017.09	0.44	7014.2	2.9						1d
Fe		KM1	7020.2	1.5								
Er		L2M1	7047.1	2.1	7045.167	0.090						3d
Fe		KM2	7053.23	1.00	7058.175	0.016					KM2,3	7d
Fe		KM3	7059.9	1.1	7058.175	0.016					KM2,3	7d
Sm		L2N3	7064.0	1.1	7064.27	0.81						31d
Gd		L3N4	7093.9	2.6	7103.0	1.2					L3N4,5	1d
Pm		L1N1	7094.5	4.6								
Tb		L1M3	7097.7	2.4	7096.1	1.2						1d
Gd		L3N5	7101.77	0.55	7103.0	1.2					L3N4,5	1d
Fe		KM4	7110.59	0.50	7108.26	0.60					KM4,5	1d
Fe		KM5	7111.50	0.52	7108.26	0.60					KM4,5	1d
Nd		L1N6	7117.2	1.5	7122.1	2.0					L1N6,7	30d
Tb		L3N1	7117.8	3.6	7116.4	1.2						1d
Fe		KN1	7117.93	0.20								
Nd		L1N7			7122.1	2.0					L1N6,7	30d
Fe		K edge	7125.87	0.13	7110.747	0.020	7110.86	0.40				13d
Nd		L1 edge	7130.2	1.1	7129.52	0.61	7129.47	0.72				1d
Tm		L3M4	7135.4	1.2	7133.715	0.078						3d
Gd		L1M4	7155.0	2.0	7160.4	1.8						1d
Pm		L1N2	7163	16								
Ta		L3M1	7174.4	1.7	7173.20	0.31						1d
Ho		L2M3	7176.5	1.7								
Tm		L3M5	7180.1	1.1	7180.113	0.029						3d
Sm		L2N5	7182.12	0.66								
